datetime,signal_datetime,trigger,trigger_type,signal_regime,signal_transition,desired_weight,scheduled_target_weight,side,exec_price,trade_notional,btc_delta,fee_paid,pre_trade_equity,pre_trade_weight
2021-01-01 04:00:00+08:00,2021-01-01 00:00:00+08:00,Bull,regime,Bull,START,0.9,0.25,BUY,28926.737839999998,25000.0,0.864252310035109,12.5,100000.0,0.0
2021-01-01 08:00:00+08:00,2021-01-01 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.5000111070024605,BUY,28952.55363,24996.203510525196,0.863350564166633,12.498101755262597,99984.81404210078,0.25001110700246054
2021-01-01 12:00:00+08:00,2021-01-01 08:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7529964604602944,BUY,29307.688409999995,25140.061594936968,0.8577974913353793,12.570030797468483,100560.24637974783,0.5029964604602944
2021-01-05 16:00:00+08:00,2021-01-05 12:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5124345745132495,SELL,30786.962219999998,26125.61014625601,-0.8485933090626313,13.062805073128006,104502.44058502404,0.7624345745132495
2021-01-07 00:00:00+08:00,2021-01-06 20:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7909831501501116,BUY,34600.746179999995,27743.379202651486,0.8018144770151743,13.871689601325743,110973.51681060594,0.5409831501501116
2021-01-12 00:00:00+08:00,2021-01-11 20:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.52570189186013,SELL,31551.23718,25837.7828096297,-0.8189150448277193,12.91889140481485,103351.13123851878,0.77570189186013
2021-01-13 08:00:00+08:00,2021-01-13 04:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.2944004030563364,SELL,34015.10085,26891.116376031307,-0.7905640643141384,13.445558188015653,107564.46550412523,0.5444004030563364
2021-01-20 04:00:00+08:00,2021-01-20 00:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5575842769048999,BUY,36317.94166,27398.279464171348,0.7544006684262995,13.699139732085674,109593.11785668539,0.30758427690489987
2021-01-21 12:00:00+08:00,2021-01-21 08:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.2956057989240525,SELL,34537.84758,26668.48478056297,-0.772152483410866,13.334242390281485,106673.93912225188,0.5456057989240525
2021-02-03 12:00:00+08:00,2021-02-03 08:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5563366958413903,BUY,36439.87347,27076.237646872258,0.7430387393952786,13.538118823436129,108304.95058748903,0.30633669584139034
2021-02-04 20:00:00+08:00,2021-02-04 16:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8124355793930188,BUY,37356.749429999996,27445.898165646286,0.7346971721154457,13.722949082823144,109783.59266258516,0.5624355793930188
2021-02-23 20:00:00+08:00,2021-02-23 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5933481058294438,SELL,46312.78086,32839.96837348092,-0.709090833322094,16.41998418674046,131359.87349392372,0.8433481058294438
2021-02-25 04:00:00+08:00,2021-02-25 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.3563467934332176,SELL,48910.97007,33913.93776254087,-0.6933810086776891,16.956968881270434,135655.75105016344,0.6063467934332176
2021-03-04 08:00:00+08:00,2021-03-04 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6126732745294585,BUY,50399.71937,34243.93591816222,0.6794469561778081,17.12196795908111,136975.7436726489,0.3626732745294585
2021-03-05 16:00:00+08:00,2021-03-05 12:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.848133097962822,BUY,47427.38,32994.28494160589,0.6956801101306016,16.497142470802945,131977.13976642356,0.598133097962822
2021-03-16 16:00:00+08:00,2021-03-16 12:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.6169257039013017,SELL,55184.57019,37622.70926973458,-0.6817613898269012,18.81135463486729,150490.83707893832,0.8669257039013017
2021-03-18 00:00:00+08:00,2021-03-17 20:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.36557688452830484,SELL,54875.07,37478.46956209283,-0.6829780729590473,18.739234781046417,149913.87824837133,0.6155768845283048
2021-03-19 00:00:00+08:00,2021-03-18 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6343216915511489,BUY,59593.203669999995,38611.921660666616,0.6479249189971703,19.30596083033331,154447.6866426664,0.38432169155114887
2021-03-20 08:00:00+08:00,2021-03-20 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8783555274925511,BUY,58088.04001,37979.08149526328,0.6538192972034361,18.98954074763164,151916.3259810531,0.6283555274925511
2021-03-24 00:00:00+08:00,2021-03-23 20:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.6229241363022011,SELL,55110.034799999994,36318.446440759784,-0.6590169389760535,18.159223220379893,145273.78576303917,0.8729241363022011
2021-03-25 08:00:00+08:00,2021-03-25 04:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.3603163499963987,SELL,52251.356340000006,35131.75303577694,-0.6723605949513413,17.565876517888473,140527.01214310774,0.6103163499963987
2021-03-29 00:00:00+08:00,2021-03-28 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6275648049415197,BUY,56413.33698,36098.24239085707,0.6398884434660342,18.049121195428537,144392.96956342825,0.3775648049415196
2021-03-30 08:00:00+08:00,2021-03-30 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8827846488583935,BUY,57693.09545999999,36599.07905273173,0.6343753747466497,18.299539526365866,146396.31621092692,0.6327846488583935
2021-04-04 00:00:00+08:00,2021-04-03 20:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.6349705408949256,SELL,58771.16001,37254.79586780672,-0.6338958744640698,18.62739793390336,149019.18347122695,0.8849705408949256
2021-04-11 12:00:00+08:00,2021-04-11 08:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.85,BUY,60328.84858,31686.335175645043,0.5252269174941552,15.843167587822522,151276.195768019,0.6405398465715265
2021-04-12 20:00:00+08:00,2021-04-12 16:00:00+08:00,Consolidation,regime,Consolidation,Consolidation,0.55,0.6000003587252675,SELL,60181.2585,37792.73404408258,-0.6279817834664022,18.89636702204129,151170.93617633032,0.8500003587252675
