strategy_id,stage,strategy_preset,bull_weight,consolidation_weight,bear_weight,min_regime_bars,rebalance_threshold,max_weight_step,transition_cooldown_bars,final_equity_regime,final_equity_buy_hold,excess_final_equity,cagr_regime,cagr_buy_hold,excess_cagr,total_return_regime,total_return_buy_hold,max_drawdown_regime,max_drawdown_buy_hold,sharpe_regime,sharpe_buy_hold,trade_count,annual_trade_count,transition_triggered_trade_count,total_turnover,turnover_to_initial_cash,total_fees_paid,avg_spot_weight,years,beats_buy_hold,drawdown_not_worse,risk_overlay
default_b0.90_c0.55_r0.20_m6_th0.20_step0.25_cool6,baseline,default,0.9,0.55,0.2,6,0.2,0.25,6,159099.66080602398,185782.11581976915,-26682.455013745173,0.13410584990219787,0.1827737823597011,-0.04866793245750323,0.5909966080602398,0.8578211581976916,-0.5706468172878245,-0.7704339319608702,0.5322119944868002,0.5822801517680759,288,78.04974631852494,217,9092360.634330362,90.92360634330362,4546.180317165181,0.5619781288764496,3.689954337899543,False,True,True
regime_baseline_b0.90_c0.55_r0.20_m6_th0.20_step0.25_cool6,baseline,regime_baseline,0.9,0.55,0.2,6,0.2,0.25,6,167298.48153638205,185782.11581976915,-18483.634283387102,0.14965540893141838,0.1827737823597011,-0.03311837342828272,0.6729848153638205,0.8578211581976916,-0.5405702786211593,-0.7704339319608702,0.5656350306239095,0.5822801517680759,285,77.23672812770697,0,8747340.104198884,87.47340104198884,4373.670052099443,0.5684233294681574,3.689954337899543,False,True,True
no_transition_b0.90_c0.55_r0.20_m6_th0.20_step0.25_cool6,baseline,no_transition,0.9,0.55,0.2,6,0.2,0.25,6,167298.48153638205,185782.11581976915,-18483.634283387102,0.14965540893141838,0.1827737823597011,-0.03311837342828272,0.6729848153638205,0.8578211581976916,-0.5405702786211593,-0.7704339319608702,0.5656350306239095,0.5822801517680759,285,77.23672812770697,0,8747340.104198884,87.47340104198884,4373.670052099443,0.5684233294681574,3.689954337899543,False,True,True
transition_confirmed_b0.90_c0.55_r0.20_m6_th0.20_step0.25_cool6,baseline,transition_confirmed,0.9,0.55,0.2,6,0.2,0.25,6,159099.66080602398,185782.11581976915,-26682.455013745173,0.13410584990219787,0.1827737823597011,-0.04866793245750323,0.5909966080602398,0.8578211581976916,-0.5706468172878245,-0.7704339319608702,0.5322119944868002,0.5822801517680759,288,78.04974631852494,217,9092360.634330362,90.92360634330362,4546.180317165181,0.5619781288764496,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.00_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.25,0.0,6,0.2,0.25,6,173635.30158502047,185782.11581976915,-12146.814234748686,0.16129714417672303,0.1827737823597011,-0.02147663818297807,0.7363530158502047,0.8578211581976916,-0.3638631002397905,-0.7704339319608702,0.6841348929477935,0.5822801517680759,456,123.57876500433116,0,14734675.01993981,147.3467501993981,7367.337509969905,0.3282706279993213,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.25,0.1,6,0.2,0.25,6,186349.02756676392,185782.11581976915,566.9117469947669,0.1837508165940982,0.1827737823597011,0.0009770342343971006,0.8634902756676393,0.8578211581976916,-0.3558993891291281,-0.7704339319608702,0.7699292996873026,0.5822801517680759,287,77.77874025491894,0,9760116.145601528,97.60116145601528,4880.058072800764,0.3393223588972338,3.689954337899543,True,True,False
custom_weights_b0.75_c0.25_r0.20_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.25,0.2,6,0.2,0.25,6,193931.73448199895,185782.11581976915,8149.618662229797,0.1966154093129473,0.1827737823597011,0.0138416269532462,0.9393173448199896,0.8578211581976916,-0.39297901557965675,-0.7704339319608702,0.7672525150741953,0.5822801517680759,313,84.82489790867467,0,10776900.34366982,107.7690034366982,5388.450171834911,0.3792187152187998,3.689954337899543,True,True,False
custom_weights_b0.75_c0.25_r0.35_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.25,0.35,6,0.2,0.25,6,192052.1881703453,185782.11581976915,6270.072350576142,0.1934612919967993,0.1827737823597011,0.010687509637098191,0.9205218817034531,0.8578211581976916,-0.41232007923261627,-0.7704339319608702,0.7244603747762619,0.5822801517680759,241,65.31246132904344,0,8680847.977101073,86.80847977101072,4340.423988550536,0.4132261599145508,3.689954337899543,True,True,False
custom_weights_b0.75_c0.50_r0.00_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.5,0.0,6,0.2,0.25,6,145944.31775358223,185782.11581976915,-39837.79806618692,0.10788765783607146,0.1827737823597011,-0.07488612452362964,0.4594431775358223,0.8578211581976916,-0.48657092672748625,-0.7704339319608702,0.4865340216626962,0.5822801517680759,438,118.70065585942335,0,12719347.01950523,127.19347019505231,6359.673509752615,0.44827613165434194,3.689954337899543,False,True,True
custom_weights_b0.75_c0.50_r0.10_m6_th0.20_step0.25_cool6,weight,custom_weights,0.75,0.5,0.1,6,0.2,0.25,6,162545.71491117257,185782.11581976915,-23236.40090859658,0.14071104470183737,0.1827737823597011,-0.042062737657863725,0.6254571491117258,0.8578211581976916,-0.46805741662017564,-0.7704339319608702,0.5882654808688774,0.5822801517680759,271,73.44264323722312,0,8519776.022623446,85.19776022623446,4259.888011311723,0.46075708514925473,3.689954337899543,False,True,True
