group,mode,horizon_days,samples,mean_return,median_return,std_return,win_rate,q25_return,q75_return,from_regime,to_regime,transition
Consolidation -> Bull,transition,7,231,0.013558161366890737,0.008553351259812159,0.09357204709185943,0.5541125541125541,-0.037618910429682406,0.05586282325341596,Consolidation,Bull,Consolidation -> Bull
Consolidation -> Bull,transition,30,229,0.043963906495815504,0.008181119765201972,0.20566384910954927,0.5152838427947598,-0.06419787396651155,0.14215685503114295,Consolidation,Bull,Consolidation -> Bull
Consolidation -> Bull,transition,90,222,0.17871181396630742,0.0469969041294106,0.5441823451125958,0.545045045045045,-0.16344847701421183,0.36628451351667635,Consolidation,Bull,Consolidation -> Bull
Consolidation -> Bear,transition,7,220,0.00353383793276183,0.0028600243567067363,0.0897754489838267,0.5181818181818182,-0.03908375427732064,0.05438707002170656,Consolidation,Bear,Consolidation -> Bear
Consolidation -> Bear,transition,30,216,0.031168540383608282,0.005147015264784227,0.24217026434395597,0.5092592592592593,-0.12102044649742877,0.12792676582730622,Consolidation,Bear,Consolidation -> Bear
Consolidation -> Bear,transition,90,206,0.10804309586263686,0.011121771051500806,0.448907058200975,0.5145631067961165,-0.1954011890405582,0.3017337764901761,Consolidation,Bear,Consolidation -> Bear
Bull -> Consolidation,transition,7,221,-0.0060493316952161405,-0.004301036062381525,0.08470399334734101,0.45701357466063347,-0.05246108077606093,0.03239225818200442,Bull,Consolidation,Bull -> Consolidation
Bull -> Consolidation,transition,30,220,0.02042360038262372,-0.005127946362535107,0.19770408509218892,0.4772727272727273,-0.09424512678320959,0.11358593293180619,Bull,Consolidation,Bull -> Consolidation
Bull -> Consolidation,transition,90,213,0.15296168101914243,0.033520764817345006,0.5044637904081517,0.5446009389671361,-0.15804326354808595,0.3340268174583807,Bull,Consolidation,Bull -> Consolidation
Bull -> Bear,transition,7,51,0.00575551989605414,0.0011989147839779335,0.09111005257140548,0.5294117647058824,-0.05887451248350195,0.05909365104430009,Bull,Bear,Bull -> Bear
Bull -> Bear,transition,30,51,0.08621006442665008,0.08262693398642651,0.18342231893163405,0.6470588235294118,-0.042980701552420564,0.2082061370337258,Bull,Bear,Bull -> Bear
Bull -> Bear,transition,90,51,0.13350877934121672,0.049009914465577564,0.4867157069577041,0.5098039215686274,-0.23929062066645312,0.36806492445669803,Bull,Bear,Bull -> Bear
Bear -> Consolidation,transition,7,230,0.01633071644260548,0.00843504728079314,0.07573689095404446,0.5869565217391305,-0.024215180743757753,0.04670757370958889,Bear,Consolidation,Bear -> Consolidation
Bear -> Consolidation,transition,30,226,0.04285345406669978,0.017606288657766256,0.234228201971157,0.5973451327433629,-0.08201389569485534,0.138294236341166,Bear,Consolidation,Bear -> Consolidation
Bear -> Consolidation,transition,90,216,0.11885933334532063,0.001779387694150758,0.46568345162505487,0.5,-0.19106164684649718,0.3354076600146839,Bear,Consolidation,Bear -> Consolidation
Bear -> Bull,transition,7,42,0.019382300630008314,0.0032185296580566902,0.10781970793226552,0.5,-0.05629864435495355,0.06277838594868906,Bear,Bull,Bear -> Bull
Bear -> Bull,transition,30,42,0.10321110109243478,0.07141455445330314,0.19870541788775042,0.6428571428571429,-0.06838072158002842,0.26891442892938955,Bear,Bull,Bear -> Bull
Bear -> Bull,transition,90,42,0.12679841802029448,0.12227125959270202,0.39037371782676134,0.6428571428571429,-0.21317398945351573,0.29451200656985144,Bear,Bull,Bear -> Bull
